name,category,sub-category,cas,unit,median,mean,std,cv,type
Iodide,soil,industrial,020461-54-5,kilogram,0.004259190832582304,0.004259190832582304,0.0,0.0,emission
"Phenol, 2,4-dichloro",air,,000120-83-2,kilogram,0.004603910840803294,0.004603910840803293,1.735591488778675e-18,3.769819939596935e-16,emission
Methomyl,water,surface water,016752-77-5,kilogram,0.005016075744862241,0.005154251231263811,0.001404768199135892,0.2800532269822157,emission
Tetramethyl ammonium hydroxide,air,urban air close to ground,000075-59-2,kilogram,0.006321835549488217,0.006321835549488217,0.0,0.0,emission
3-Methyl-1-butanol,air,urban air close to ground,000123-51-3,kilogram,0.005973672221494614,0.006424881926017479,0.002481821773106325,0.4154599852626953,emission
"Hydrocarbons, aliphatic, unsaturated",water,,,kilogram,0.006069509127519525,0.006774426216317034,0.003419527407957902,0.5633943925470934,emission
2-Methyl-2-butene,air,urban air close to ground,000513-35-9,kilogram,0.007268563599019796,0.007664869913397379,0.002447198201145265,0.3366825051204453,emission
Tungsten,air,non-urban air or from high stacks,007440-33-7,kilogram,0.008597730597517533,0.008597730597517533,0.0,0.0,emission
Acenaphthene,water,ocean,000083-32-9,kilogram,0.008920380394664479,0.008920380394664477,1.735591488778675e-18,1.945647396176938e-16,emission
Monochloroethane,water,surface water,000075-00-3,kilogram,0.008792603135489725,0.00934509719806951,0.003431620832997804,0.3902849679575208,emission
Tefluthrin,water,ground-,079538-32-2,kilogram,0.009748289859042795,0.01018911103586275,0.002897222076688144,0.2972031113745143,emission
Dimethyl ether,water,surface water,000115-10-6,kilogram,0.01122732291105606,0.01204364464558704,0.004332975298410848,0.3859312974906928,emission
Imidacloprid,water,ground-,138261-41-3,kilogram,0.01351766755980192,0.01370619293031641,0.002118863849964555,0.1567477407319524,emission
3-Methyl-1-butanol,water,surface water,000123-51-3,kilogram,0.01419317151483436,0.0151517956737458,0.005674475683733857,0.3998032207109616,emission
Imidacloprid,air,"low population density, long-term",138261-41-3,kilogram,0.01581990905007733,0.0160627875542182,0.002447871013270815,0.1547335705611309,emission
2-Methyl-2-butene,water,surface water,000513-35-9,kilogram,0.01774130740656846,0.01895355612537103,0.006685518985530158,0.3768335011801296,emission
